"Soil_Data_ID","Event_ID","Date_SoilCollected","Sampling_Position","Earthworms","Sample_Type","Horizon_Type","Notes","Archived","Created_By","Created_Date","Updated_By","Updated_Date"
"9300FF9E-4B5A-456D-9837-1927FBBFC038","1BFFA31D-D503-4C35-8E7E-2B6FBEB35FCB",2012-08-07,"S2",NA,1,3,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-08-06 15:46:31,"{82BD4E92-4D30-461C-8C0E-800F9ED909CC}",2013-05-14 09:25:28
"93303304-BFED-48A1-92FA-837F686314D5","67305504-7818-49F3-A0A6-B994244DCC7E",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{7CF1D8A0-4CB5-44EA-A457-1E82542FD34A}",2019-08-27 11:07:03,"{A27B3D5E-02FF-4045-90AA-D36F564E01DC}",2019-09-17 11:26:52
"940F5312-D6AF-4767-9A36-B1DB90D7399D","2AB5134C-3015-414A-85A7-B2B1E274AE09",2012-08-06,"S2",NA,1,3,"Original 2011 soil samples lost.  Jim Comiskey resampled one year later.",FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-08-04 15:04:18,"{82BD4E92-4D30-461C-8C0E-800F9ED909CC}",2013-05-14 09:21:58
"941612E0-80E1-4593-91A9-CDD7D476899D","0D1B22C8-EAC1-4EE1-B53A-4356EE082A14",2019-08-13,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-08-13 08:56:05,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-12-02 16:23:42
"94AF8A20-71CF-48B4-A7F2-48B2AA18A751","9696999A-9331-477E-8986-3BBF71E9E733",2012-08-27,"S2",NA,1,1,NA,FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-27 08:12:46,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-27 11:28:10
"94DD7FD8-0402-4B1D-AD9D-E7A972E95EC8","605C72E8-D466-44CD-909E-0CCE57458434",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{7CF1D8A0-4CB5-44EA-A457-1E82542FD34A}",2019-07-24 07:43:56,"{F6CEB8C1-5112-4897-BA31-ACA72F50C22F}",2020-01-24 15:30:03
"94E38B53-187C-4D13-9B33-1C6965FD2338","666986E0-7B54-4904-AEA6-97EDB258DED2",2019-12-11,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-12-11 16:12:42,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-12-11 16:16:31
"94F8A953-6EEB-482B-90FE-A9B8E47068CA","3A81582D-F846-4D2F-AFD4-1E346574307C",2011-09-07,"S2",NA,1,1,NA,FALSE,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-07 11:09:54,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-07 11:18:20
"951A8DE9-D025-4678-9152-019AE1BF24D1","AFB4CE45-0747-4C9D-861A-7A3A50958F51",2020-01-23,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-01-23 15:18:15,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-01-23 15:18:22
"953175F1-5E6B-4A43-AB3E-F10C4FBA61FF","C16CC983-DE02-43F9-A2BB-12DDBC44AA04",2013-08-06,"S2",NA,1,1,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-06 08:15:37,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-06 11:14:49
"95D77662-6BD9-44E6-B9B6-020722512D54","E277261D-0A3C-4DAB-967E-62C145B19C18",2011-08-17,"S2",NA,1,3,NA,FALSE,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-08-17 15:45:56,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-08-17 15:57:30
"9623C67C-5DC3-4105-BFAA-12369DD7C69D","9A0FDD61-5DE8-4725-85F2-AC9C8235FC8B",2011-06-07,"S1",NA,1,3,NA,FALSE,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-27 13:40:53,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-27 13:44:30
"9636668D-AB5A-4539-9A7F-6322594467ED","92BBAD13-24B6-4502-92B5-E553909ACEF9",2019-08-13,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-08-13 14:21:50,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-08-13 14:28:31
"9835A6B6-8347-4B9B-BE98-20D7F897C1CE","3E7A3A1F-5FE7-4C59-9286-64D7AC4CD080",2011-06-07,"S1",NA,1,3,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-27 13:14:56,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-27 13:23:20
"9848B317-FE53-41F9-8370-C6DD4491A4AD","A7B5D29C-EA2D-4EE6-89CB-C42C7937C16D",2012-08-09,"S2",NA,1,3,NA,FALSE,"{263FEBBD-F5A4-4597-A31D-BD8BC90961D3}",2012-08-09 07:53:20,"{263FEBBD-F5A4-4597-A31D-BD8BC90961D3}",2012-08-09 11:36:22
