"LabResult_ID","Soil_Data_ID","Unit_Code","Plot_Number","Sampling_Year","QA.QC","Layer","Date_SoilCollected","Date_Dry","UMO_Sample","soil.pH","X..LOI","X..TN","X..TC","Ca","K.Reported","K.Analysis","Mg","P.Reported","P.Analysis","Al.Reported","Al.Analysis","Fe.Reported","Fe.Analysis","Mn","Na.Reported","Na.Analysis","Zn.Reported","Zn.Analysis","acidity.Reported","acidity.Analysis","ECEC","Notes","Appended_Date","Appended_By"
"14206F59-8D18-4FB3-906D-063E7ABCAA2B","5297F615-FD80-4335-862C-BDAF37923754","FRSP","235","2013",FALSE,"A",2013-08-20,2013-09-12,"45",4.74,5.8,0.132,2.878,81.24,"92.66",92.66,44.76,"3.096",3.096,"141.4",141.4,"1.544",1.544,59.12,"6.214",6.214,"6.468",6.468,"2",2.00000000000001,3.03859455021945,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"160F2FF9-AF02-4A67-82B5-2629704A747F","C0C07D06-66C9-4A98-8FFD-BC9B5948FE3A","PETE_EAST","024","2011",FALSE,"A",2011-08-17,2011-08-27,"74",4.34,1.7,0.04766,0.792,29.44,"9.984",9.984,8.7,"2.318",2.318,"71.1",71.1,"6.48",6.48,3.894,"2.782",2.782,"0.394",0.394,"0.99",0.99,1.24643511729974,NA,2012-04-10 00:00:00,NA
"16B5774C-FD8E-4195-9EEA-503DA61C57D4","D8450988-E936-4469-AFFA-9DDF14A08E16","FRSP","119","2012",FALSE,"O",2012-08-28,2012-09-17,"19",3.5,65.6,1.28,35,1809,"467.2",467,423,"44.14",44,"241.3",241,"60",60,226,"69.25",69,"19",18.835,NA,NA,NA,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"16DC9C42-DCC0-4D4D-A966-3F6D8DA41FBC","A5171819-9F54-4187-86AE-7C7957C0B1CB","THST","292","2010",FALSE,"10cm",2010-09-08,2010-09-22,"61",4.94,6.7,0.1944,3.134,112.8,"62.14",62.14,28.6,"1.96",1.96,"146.28",146.28,"< 0.2",0.2,45.28,"2.2",2.2,"3.56",3.56,"1.98",1.98,NA,NA,2011-06-07 10:38:37,NA
"16F9498F-EF93-4F24-8AB9-0C40015ADCB0","94F8A953-6EEB-482B-90FE-A9B8E47068CA","FRSP_CHWILD","043","2011",FALSE,"O",2011-08-29,2011-09-14,"16",3.75,60.1,1.253,34.98,1379.5,"510.5",510.5,285.7,"49.625",49.625,"193.7",193.7,"32.265",32.265,302.2,"23.38",23.38,"17.65",17.65,"8.91",8.91,19.5662191015966,NA,2012-04-10 00:00:00,NA
"17D0CE4A-EB68-4012-B8BF-10F2BA46DD71","2673C63B-1E79-4013-88DC-1A776A98D8C7","APCO","007","2011",FALSE,"O",2011-08-08,2011-08-27,"4",4.85,NA,0.7165,18.62,2491.5,"367.5",367.5,276.6,"16.8",16.8,"165.65",165.65,"7.795",7.795,217.75,"13.565",13.565,"8.49",8.49,"3.465",3.465,19.1979191689558,NA,2012-04-10 00:00:00,NA
"183970A6-8692-4720-9CFE-132B0B418821","068636F8-F136-484C-BA28-7AB6CAB1690E","PETE_FIVE","271","2010",FALSE,"10cm",2010-08-19,2010-08-31,"35",4.11,4.6,0.07638,2.439,24.26,"26.02",26.02,7.4,"1.88",1.88,"155.8",155.8,"12.62",12.62,2.96,"3.76",3.76,"0.36",0.36,"2.574",2.57400000000001,NA,NA,2011-06-07 10:38:37,NA
"1A49B222-D66F-4DF5-818D-060967B186FA","FD11D634-0BE1-4773-A0BF-9A9ABA2BF0BD","FRSP_SPOT","319","2010",FALSE,"O",2010-09-22,2010-09-23,"103",5.82,NA,0.5815,12.28,2990.15,"334.9",334.9,256.8,"11.4",11.4,"36.05",36.05,"12.7",12.7,260.5,"25.05",25.05,"6.6",6.6,"0.495",0.495000000000014,NA,NA,2011-06-07 10:38:37,NA
"1A6EE236-30A4-4489-95CA-0D360B12A4C2","940F5312-D6AF-4767-9A36-B1DB90D7399D","GETT","032","2012",FALSE,"A",2012-08-06,2012-09-27,"66",5.2,19.3,0.53,9.02,1738,"176.26",176,156,"3.344",3.3,"32.08",32,"2.436",2.4,67,"6.034",6,"3.5",3.544,"0.976",1,11.4,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
"1A864E21-F957-4F08-B675-8621428FFD56","134D0656-619B-4BC7-8397-B1D71B089EDB","VAFO","038","2012",FALSE,"A",2012-08-01,2012-09-05,"132",4.6,13.7,0.33,7.3,267,"44.14",44,54,"5.566",5.6,"497.4",497,"42.4",42,17,"10.8",11,"8.4",8.414,"10.736",10.7,12.7,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
"1BBC7B3C-FDA7-4A73-99E9-780F9645470E","0950D960-EDA0-4C15-9317-E56296A2F52B","RICH","134","2012",FALSE,"10 cm",2012-09-13,2012-09-27,"118",4.3,4,0.1,2.24,52,"47.02",47,22,"3.272",3.3,"114.02",114,"30.1",30,5.1,"3.218",3.2,"2.1",2.064,"2.1472",2.1,2.7,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"1BEB8A2B-4E10-42C5-A4E5-642ABDC02554","F61F1EDD-5089-4C61-A862-9818D3E27745","PETE","141","2012",FALSE,"10 cm",2012-09-10,2012-09-27,"114",4.8,4.2,0.13,1.71,344,"53.7",54,40,"2.716",2.7,"45.38",45,"8.992",9,6.7,"5.248",5.2,"4",4.044,"1.3664",1.4,3.6,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"1D81B93A-3A9F-42E0-88CC-68D8475470F6","C0C07D06-66C9-4A98-8FFD-BC9B5948FE3A","PETE_EAST","024","2011",FALSE,"O",2011-08-17,2011-08-27,"75",4.15,18.3,0.5699,15.45,727.5,"80.15",80.15,145.9,"16.385",16.385,"121.45",121.45,"14.795",14.795,31.63,"8.43",8.43,"3.85",3.85,"4.455",4.455,9.53496243145675,NA,2012-04-10 00:00:00,NA
"1DBE34D4-0F20-4540-A539-51FADD4E65F3","AC4D58F0-085E-4703-887F-08F2EE27B234","GETT","255","2010",FALSE,"10cm",2010-08-11,2010-08-24,"18",4.93,20.9,0.6556,9.429,2189.72,"198.2",198.2,544.78,"6.04",6.04,"67.78",67.78,"5.2",5.2,81.7,"16.56",16.56,"2.7",2.7,"1.188",1.188,NA,NA,2011-06-07 10:38:37,NA
"1E024B42-2B26-4972-9963-F7B60CA03FD4","C949F946-185A-4FC3-AF34-AE2651C4E76B","RICH","238","2013",FALSE,"A",2013-09-04,2013-09-16,"91",4.33,9,0.336,5.375,526.2,"68.6",68.6,72.4,"2.046",2.046,"188.14",188.14,"30.52",30.52,10.652,"16",16,"2.866",2.866,"4",4,7.47189756138634,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"1E743B45-52CF-457D-9C68-3CC3B949F39A","7D55AE0A-36D4-4BA3-B73A-A75A49B3730A","RICH","226","2013",FALSE,"A",2013-09-04,2013-09-16,"83",4.21,4.3,0.11,2.796,132.52,"34.46",34.46,15.16,"1.986",1.986,"114.9",114.9,"6.422",6.422,10.15,"4.518",4.518,"1.562",1.562,"3.2",3.20000000000001,4.09515013313968,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"1EB0E4CD-9285-42A1-817A-56CEBC461CBC","98E4D5F6-A7B7-4D46-B45E-C5B8FF42E39C","APCO","268","2010",FALSE,"10cm",2010-08-18,2010-08-31,"31",6.16,7,0.1798,2.434,1276.88,"78.6",78.6,116.9,"2.32",2.32,"2.82",2.82,"1.2",1.2,6.28,"5.8",5.8,"0.22",0.22,"< 0.2",0.2,NA,NA,2011-06-07 10:38:37,NA
